,title,date,time,author,counts,sometext,category,Date
0,Sunless Skies: наш паровоз вперёд летит,17.02.2019/13:00,Обновлено: 17.02.2019 в 12:32,Юрий Мелков,4,"Четыре года назад маленькая британская компания Failbetter Games выпустила оригинальнейшую игру Sunless Sea, соединяющую жанр RPG с элементами адвенчуры и survival horror, антуражем rogue-like и необычной…","
Обзоры
",01:00 PM 17/02/2019
1,Ричард Брэнсон: «Решение Virgin Orbit позволит выводить новые спутники взамен потерянных в течение суток»,17.02.2019/12:37,Обновлено: 17.02.2019 в 10:38,Кирилл Иртлач,2,"Решение Virgin Orbit, подразумевающее запуск легких ракет-носителей LaucnOne с модифицированного самолета Boeing 747 под названием Cosmic Girl, позволит выводить новые спутники взамен потерянных в течение…","
Блоги
",12:37 PM 17/02/2019
2,Endless Legend – Symbiosis: жизнь грибов,17.02.2019/12:00,Обновлено: 17.02.2019 в 10:05,Олег Данилов,4,"Уже дважды, во время релиза Tempest в 2016 г. и в момент выхода Inferno год назад, нам казалось, что это уже финальные DLC для выпущенной еще в 2014 г. 4X-стратегии Endless Legend. Но в AMPLITUDE Studios, похоже, еще не готовы…","
Обзоры
",12:00 PM 17/02/2019
3,Far Cry New Dawn: цветущий апокалипсис,17.02.2019/11:00,Обновлено: 16.02.2019 в 11:14,Олег Данилов,12,"Far Cry New Dawn – штука неоднозначная. Там, где игра позволяет исследовать открытый мир – все просто отлично, там же, где Ubisoft пытается рассказывать сюжет… Одним словом, все как обычно. Far Cry New Dawn…","
Обзоры
",11:00 AM 17/02/2019
4,Спутник-уборщик RemoveDEBRIS успешно загарпунил макет космического мусора,17.02.2019/10:37,Обновлено: 17.02.2019 в 10:37,Кирилл Иртлач,23,"Спутник RemoveDEBRIS завершил второй этап тестирования систем, предназначенных для сбора космического мусора и свода его с орбиты. Во время испытаний устройство успешно захватило тренировочный…","
Блоги
",10:37 AM 17/02/2019
5,Рецензия на фильм «Счастливый день смерти 2» / Happy Death Day 2U,17.02.2019/09:00,Обновлено: 15.02.2019 в 17:27,Анастасия Сохач,22,"«Счастливый день смерти 2» вместо ожидаемого и слишком предсказуемого хоррора оказался научной фантастикой с элементами комедии. В нем есть петля времени, заложенная в основу первой части,…","
Обзоры
",09:00 AM 17/02/2019
6,"General Motors представил пару электровелосипедов ARIV Meld и Merge, их продажи стартуют в Европе по цене €2,8 тыс. и €3,4 тыс. соответственно",16.02.2019/17:20,Обновлено: 16.02.2019 в 17:20,Сергей Кулеш,60,В ноябре прошлого года американский автопроизводитель General Motors объявил краудсорсинговую кампанию по выбору имени для своих будущих электровелосипедов. На этой неделе компания наконец…,"
Новости
",05:20 PM 16/02/2019
7,"Опубликован рейтинг украинских интернет-провайдеров по скорости и качеству доступа к сети, лидируют «Ланет», «Триолан» и «O3»",16.02.2019/15:50,Обновлено: 16.02.2019 в 16:04,Сергей Кулеш,115,"Французская компания nPerf, которая специализируется на измерении скорости и качества доступа к сети интернет, опубликовала данные тестирования сетей украинских ШПД-провайдеров. Компания…","
Новости
",03:50 PM 16/02/2019
8,"Тест-драйв Subaru Forester 2019: большие надежды, но и спрос высок!",16.02.2019/14:40,Обновлено: 16.02.2019 в 14:40,Роман Мельниченко,159,"Признаться, мое отношение к Subaru Forester особенное: предшественник удивил в тех аспектах, в которых я не ожидал. Однако из-за этого и спрос строже: сумеет ли новый Subaru Forester оправдать возложенные…","
Статьи
",02:40 PM 16/02/2019
9,На стриминговом сервисе DC Universe стартовал сериал о супергероях-изгоях Doom Patrol / «Роковой патруль» [расширенный трейлер],16.02.2019/14:35,Обновлено: 16.02.2019 в 14:37,Сергей Кулеш,20,"Сегодня на стриминговом сервисе DC Universe стартовал первый сезон сериала о супергероях-изгоях Doom Patrol / «Роковой патруль» с Бренданом Фрейзером и Тимоти Далтоном, в честь чего авторы шоу…","
Блоги
",02:35 PM 16/02/2019
10,Metro Exodus: конечная?,16.02.2019/12:53,Обновлено: 16.02.2019 в 12:53,Дмитрий Курятник,343,"Metro Exodus, по большому счету, единственная современная украинская ААА-игра, в особом представлении не нуждается. Мы ее ждали шесть лет, и ждали не зря.","
Обзоры
",12:53 PM 16/02/2019
11,Рецензия на фильм Alita: Battle Angel / «Алита: Боевой ангел»,16.02.2019/11:00,Обновлено: 16.02.2019 в 11:48,Олег Данилов,120,"Alita: Battle Angel стоит смотреть исключительно в 3D и на как можно большем экране. Иначе просто не имеет смысла, ведь основные достоинства «Боевого ангела» – это великолепная визуализация,…","
Обзоры
",11:00 AM 16/02/2019
12,Рецензия на сериал «Ты» / You,16.02.2019/09:00,Обновлено: 15.02.2019 в 17:05,Анастасия Сохач,8,"Чтобы узнать человека, в наше время достаточно найти его в социальных сетях. Используя личные данные и геолокацию, можно днями следить за своей жертвой, не появляясь перед ее глазами. Именно…","
Обзоры
",09:00 AM 16/02/2019
