id,title,date4,time3,author,counts,sometext,category,date2
215,Сервис курьерской доставки Glovo запустился в Запорожье,2019-06-03,Обновлено: 03.06.2019 в 18:28,Сергей Кулеш,8,"Спустя всего неделю после запуска Glovo в Виннице сервис курьерской доставки начал работать в Запорожье. Таким образом, этот город стал седьмым городом присутствия в Украине. Доставку пока…","
Новости
",05:32 PM 03/06/2019
229,"Samsung анонсировала несколько ноутбуков серии Notebook 7, внешне напоминающих MacBook Pro",2019-06-03,Обновлено: 03.06.2019 в 13:07,Вадим Карпусь,22,"Накануне открытия конференции WWDC 2019 компания Samsung анонсировала выпуск нескольких новых ноутбуков, которые во многом похожи на устройства Apple MacBook Pro. Новые ноутбуки Samsung Notebook 7 доступны в виде…","
Новости
",12:11 PM 03/06/2019
237,Министерство юстиции США собирается провести расследование в отношении Google,2019-06-03,Обновлено: 03.06.2019 в 09:21,Игорь Мозуль,16,"Google вскоре может столкнуться с антимонопольным расследованием со стороны Министерства юстиции США, которое связано с поисковой системой компании и, возможно, другими её продуктами.…","
Новости
",09:12 AM 03/06/2019
232,Европейский автобусный лоукостер Flixbus полноценно выходит на рынок Украины,2019-06-03,Обновлено: 03.06.2019 в 11:00,Сергей Кулеш,77,"Компания FlixBus, которая является крупнейшим оператором автобусных перевозок в Европе, планирует полноценный выход на украинский рынок. Через неделю, 11 июня 2019 года, представители компании…","
Новости
",11:00 AM 03/06/2019
225,"Warner Bros. официально утвердила Роберта Паттинсона на роль Бэтмена, студия планирует сразу три фильма с его участием",2019-06-03,Обновлено: 03.06.2019 в 15:21,Сергей Кулеш,68,"Киностудия Warner Bros. официально утвердила Роберта Паттинсона на роль Бэтмена, при этом контракт предусматривает участие актера в трех фильмах новой франшизы. О том, что Роберта Паттинсона…","
Блоги
",01:58 PM 03/06/2019
209,Microsoft провела внутреннюю презентацию секретного устройства Surface с двумя экранами,2019-06-03,Обновлено: 03.06.2019 в 19:43,Игорь Мозуль,0,"Ресурс The Verge со ссылкой на источники, знакомые с планами Microsoft, сообщил о том, что компания провела закрытое мероприятие, на котором продемонстрировала своим сотрудникам концепцию устройства…","
Новости
",07:43 PM 03/06/2019
212,Oppo и Xiaomi показали прототипы смартфонов с фронтальной камерой под дисплеем,2019-06-03,Обновлено: 03.06.2019 в 18:31,Вадим Карпусь,6,"В стремлении создать полноэкранный дизайн смартфона производители сначала начали использовать вырезы, а затем и отверстия в дисплее, где располагаются камеры для автопортретов. В качестве…","
Новости
",06:48 PM 03/06/2019
238,"Бренд The North Face подменил фотографии пейзажей в Wikipedia на изображения, на которых запечатлена его продукция. «Эксперимент» закончился скандалом",2019-06-03,Обновлено: 03.06.2019 в 08:29,Кирилл Иртлач,21,Бразильское подразделение американского производителя одежды для спорта и туризма The North Face в рамках разработанной агентством Leo Burnett рекламной кампании подменило фотографии пейзажей в…,"
Новости
",09:05 AM 03/06/2019
236,"Сбой облачной инфраструктуры Google сделал недоступными Gmail, YouTube, Discord, Snapchat и другие сервисы",2019-06-03,Обновлено: 03.06.2019 в 09:30,Вадим Карпусь,34,2 июня компания Google сообщила о масштабном сбое в своей платформе Cloud Platform. Из-за чего некоторые сайты и приложения перестали работать в некоторых регионах. При этом у пользователей возникли…,"
Новости
",09:30 AM 03/06/2019
228,Украинский лоукостер SkyUp запустил два внутренних авиарейса в Одессу из Киева и Харькова с билетами от 500 грн,2019-06-03,Обновлено: 03.06.2019 в 12:30,Сергей Кулеш,69,"Украинская авиакомпания SkyUp вышла на рынок внутренних авиаперевозок, запустив два рейса в Одессу из Киева и Харькова с билетами от 500 грн. С 25 мая авиакомпания начала выполнять полеты…","
Новости
",12:30 PM 03/06/2019
